Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date,Captain
New Zealand,lost,20 runs,0,won,2nd,South Africa,Centurion,8/19/2015,
New Zealand,won,20 runs,0,lost,1st,West Indies,Port Elizabeth,2/13/2003,Stephen Fleming (NZ)
New Zealand,won,20 runs,0,won,1st,West Indies,Christchurch,1/11/2000,Stephen Fleming (NZ)
Pakistan,lost,20 runs,0,lost,2nd,England,Abu Dhabi,2/15/2012,
Pakistan,lost,20 runs,0,won,2nd,India,Toronto,9/13/1997,
South Africa,lost,20 runs,0,lost,2nd,England,Leeds,8/22/2008,
South Africa,won,20 runs,0,lost,1st,New Zealand,Centurion,8/19/2015,
Sri Lanka,lost,20 runs,0,lost,2nd,India,Pallekele,8/4/2012,
Sri Lanka,won,20 runs,0,lost,1st,Australia,The Oval,6/17/2013,
Sri Lanka,won,20 runs,0,lost,1st,England,Lord's,6/17/2006,
Sri Lanka,won,20 runs,0,won,1st,New Zealand,Napier,1/8/2006,Stephen Fleming (NZ)
West Indies,lost,20 runs,0,lost,2nd,Australia,Port of Spain,4/18/1999,
West Indies,lost,20 runs,0,lost,2nd,India,Cuttack,1/24/2007,
West Indies,lost,20 runs,0,lost,2nd,India,Kingston,6/26/2009,
West Indies,lost,20 runs,0,lost,2nd,New Zealand,Christchurch,1/11/2000,Stephen Fleming (NZ)
West Indies,lost,20 runs,0,won,2nd,New Zealand,Port Elizabeth,2/13/2003,Stephen Fleming (NZ)
West Indies,won,20 runs,0,won,1st,New Zealand,Basseterre,7/16/2012,Ross Taylor (NZ)
India,lost,200 runs,0,lost,2nd,New Zealand,Dambulla,8/10/2010,Ross Taylor (NZ)
New Zealand,won,200 runs,0,won,1st,India,Dambulla,8/10/2010,Ross Taylor (NZ)
New Zealand,lost,203 runs,0,won,2nd,West Indies,Hamilton,1/8/2014,Brendon McCullum (NZ)
West Indies,won,203 runs,0,lost,1st,New Zealand,Hamilton,1/8/2014,Brendon McCullum (NZ)
Australia,won,208 runs,0,won,1st,India,Sydney,2/8/2004,
India,lost,208 runs,0,lost,2nd,Australia,Sydney,2/8/2004,
South Africa,won,209 runs,0,won,1st,West Indies,Cape Town,1/25/2004,
West Indies,lost,209 runs,0,lost,2nd,South Africa,Cape Town,1/25/2004,
Australia,lost,21 runs,0,lost,2nd,England,Adelaide,1/26/2011,
England,lost,21 runs,0,lost,2nd,West Indies,Providence,3/22/2009,
England,won,21 runs,0,won,1st,Australia,Adelaide,1/26/2011,
India,won,21 runs,0,won,1st,Sri Lanka,Hambantota,7/21/2012,
New Zealand,won,21 runs,0,won,1st,Sri Lanka,Wellington,1/6/2006,Stephen Fleming (NZ)
New Zealand,won,21 runs,0,won,1st,West Indies,Christchurch,2/25/2006,Stephen Fleming (NZ)
Pakistan,won,21 runs,0,won,1st,Sri Lanka,Dubai (DSC),11/18/2011,
Sri Lanka,lost,21 runs,0,lost,2nd,India,Hambantota,7/21/2012,
Sri Lanka,lost,21 runs,0,lost,2nd,New Zealand,Wellington,1/6/2006,Stephen Fleming (NZ)
Sri Lanka,lost,21 runs,0,lost,2nd,Pakistan,Dubai (DSC),11/18/2011,
West Indies,lost,21 runs,0,lost,2nd,New Zealand,Christchurch,2/25/2006,Stephen Fleming (NZ)
West Indies,won,21 runs,0,won,1st,England,Providence,3/22/2009,
England,won,210 runs,0,lost,1st,New Zealand,Birmingham,6/9/2015,Brendon McCullum (NZ)
New Zealand,lost,210 runs,0,won,2nd,England,Birmingham,6/9/2015,Brendon McCullum (NZ)
India,lost,214 runs,0,lost,2nd,South Africa,Mumbai,10/25/2015,
South Africa,won,214 runs,0,won,1st,India,Mumbai,10/25/2015,
Australia,won,215 runs,0,won,1st,New Zealand,St George's,4/20/2007,Stephen Fleming (NZ)
New Zealand,lost,215 runs,0,lost,2nd,Australia,St George's,4/20/2007,Stephen Fleming (NZ)
Pakistan,won,217 runs,0,won,1st,Sri Lanka,Sharjah,4/17/2002,
Sri Lanka,lost,217 runs,0,lost,2nd,Pakistan,Sharjah,4/17/2002,
Australia,lost,22 runs,0,lost,2nd,Sri Lanka,Adelaide,2/10/2006,
England,lost,22 runs,0,lost,2nd,India,Kolkata,1/19/2002,
England,lost,22 runs,0,won,2nd,New Zealand,Bristol,6/21/2008,Daniel Vettori (NZ)
England,won,22 runs,0,won,1st,South Africa,Centurion,9/27/2009,
India,won,22 runs,0,won,1st,England,Kolkata,1/19/2002,
India,won,22 runs,0,won,1st,South Africa,Indore,10/14/2015,
New Zealand,lost,22 runs,0,won,2nd,Pakistan,Dambulla,5/20/2003,Stephen Fleming (NZ)
New Zealand,won,22 runs,0,lost,1st,England,Bristol,6/21/2008,Daniel Vettori (NZ)
New Zealand,won,22 runs,0,lost,1st,Pakistan,Mohali,5/9/1997,Stephen Fleming (NZ)
Pakistan,lost,22 runs,0,won,2nd,New Zealand,Mohali,5/9/1997,Stephen Fleming (NZ)
Pakistan,won,22 runs,0,lost,1st,New Zealand,Dambulla,5/20/2003,Stephen Fleming (NZ)
Pakistan,won,22 runs,0,lost,1st,West Indies,Gros Islet,5/22/2005,
South Africa,lost,22 runs,0,lost,2nd,England,Centurion,9/27/2009,
South Africa,lost,22 runs,0,lost,2nd,India,Indore,10/14/2015,
Sri Lanka,won,22 runs,0,won,1st,Australia,Adelaide,2/10/2006,
West Indies,lost,22 runs,0,won,2nd,Pakistan,Gros Islet,5/22/2005,
Australia,won,224 runs,0,lost,1st,Pakistan,Nairobi (Gym),8/30/2002,
Pakistan,lost,224 runs,0,won,2nd,Australia,Nairobi (Gym),8/30/2002,
Australia,lost,23 runs,0,lost,2nd,New Zealand,Sydney,1/17/2002,
Australia,lost,23 runs,0,won,2nd,New Zealand,Melbourne,1/11/2002,Stephen Fleming (NZ)
England,lost,23 runs,0,lost,2nd,India,Lord's,9/5/2004,
England,lost,23 runs,0,lost,2nd,Pakistan,The Oval,9/17/2010,
England,lost,23 runs,0,lost,2nd,Sri Lanka,Manchester,7/7/2002,
India,won,23 runs,0,lost,1st,Sri Lanka,Colombo (SSC),8/29/1999,
India,won,23 runs,0,won,1st,England,Lord's,9/5/2004,
New Zealand,won,23 runs,0,lost,1st,Australia,Melbourne,1/11/2002,Stephen Fleming (NZ)
New Zealand,won,23 runs,0,won,1st,Australia,Sydney,1/17/2002,Stephen Fleming (NZ)
Pakistan,won,23 runs,0,won,1st,England,The Oval,9/17/2010,
Pakistan,won,23 runs,0,won,1st,South Africa,Cape Town,11/24/2013,
South Africa,lost,23 runs,0,lost,2nd,Pakistan,Cape Town,11/24/2013,
Sri Lanka,lost,23 runs,0,won,2nd,India,Colombo (SSC),8/29/1999,
Sri Lanka,won,23 runs,0,won,1st,England,Manchester,7/7/2002,
Pakistan,lost,234 runs,0,lost,2nd,Sri Lanka,Lahore,1/24/2009,
Sri Lanka,won,234 runs,0,won,1st,Pakistan,Lahore,1/24/2009,
Australia,won,24 runs,0,lost,1st,India,Mohali,11/2/2009,
Australia,won,24 runs,0,lost,1st,South Africa,Port Elizabeth,3/5/2006,
Australia,won,24 runs,0,lost,1st,Sri Lanka,Melbourne,2/22/2008,
England,won,24 runs,0,lost,1st,Pakistan,Chester-le-Street,9/10/2010,
India,lost,24 runs,0,won,2nd,Australia,Mohali,11/2/2009,
India,lost,24 runs,0,won,2nd,New Zealand,Napier,1/19/2014,Brendon McCullum (NZ)
New Zealand,lost,24 runs,0,lost,2nd,West Indies,Basseterre,7/14/2012,Ross Taylor (NZ)
New Zealand,won,24 runs,0,lost,1st,India,Napier,1/19/2014,Brendon McCullum (NZ)
Pakistan,lost,24 runs,0,won,2nd,England,Chester-le-Street,9/10/2010,
Pakistan,won,24 runs,0,won,1st,West Indies,Abu Dhabi,11/14/2008,
South Africa,lost,24 runs,0,won,2nd,Australia,Port Elizabeth,3/5/2006,
Sri Lanka,lost,24 runs,0,won,2nd,Australia,Melbourne,2/22/2008,
West Indies,lost,24 runs,0,lost,2nd,Pakistan,Abu Dhabi,11/14/2008,
West Indies,won,24 runs,0,won,1st,New Zealand,Basseterre,7/14/2012,Ross Taylor (NZ)
India,lost,245 runs,0,lost,2nd,Sri Lanka,Sharjah,10/29/2000,
Sri Lanka,won,245 runs,0,won,1st,India,Sharjah,10/29/2000,
Australia,lost,25 runs,0,lost,2nd,South Africa,Cape Town,4/9/2009,
Australia,won,25 runs,0,lost,1st,West Indies,Gros Islet,5/21/2003,
England,lost,25 runs,0,won,2nd,Sri Lanka,Colombo (RPS),11/26/2014,
England,won,25 runs,0,lost,1st,West Indies,North Sound,3/5/2014,
India,lost,25 runs,0,lost,2nd,Pakistan,Dhaka,6/14/2008,
India,lost,25 runs,0,lost,2nd,Sri Lanka,Colombo (RPS),8/1/2004,
Pakistan,lost,25 runs,0,lost,2nd,Sri Lanka,Dubai (DSC),11/14/2011,
Pakistan,won,25 runs,0,won,1st,India,Dhaka,6/14/2008,
Pakistan,won,25 runs,0,won,1st,South Africa,Lahore,10/20/2007,
South Africa,lost,25 runs,0,lost,2nd,Pakistan,Lahore,10/20/2007,
South Africa,won,25 runs,0,won,1st,Australia,Cape Town,4/9/2009,
Sri Lanka,won,25 runs,0,lost,1st,England,Colombo (RPS),11/26/2014,
Sri Lanka,won,25 runs,0,won,1st,India,Colombo (RPS),8/1/2004,
Sri Lanka,won,25 runs,0,won,1st,Pakistan,Dubai (DSC),11/14/2011,
West Indies,lost,25 runs,0,won,2nd,Australia,Gros Islet,5/21/2003,
West Indies,lost,25 runs,0,won,2nd,England,North Sound,3/5/2014,
South Africa,won,257 runs,0,won,1st,West Indies,Sydney,2/27/2015,
West Indies,lost,257 runs,0,lost,2nd,South Africa,Sydney,2/27/2015,
South Africa,won,258 runs,0,won,1st,Sri Lanka,Paarl,1/11/2012,
Sri Lanka,lost,258 runs,0,lost,2nd,South Africa,Paarl,1/11/2012,
Australia,won,26 runs,0,won,1st,India,Sharjah,4/22/1998,
England,won,26 runs,0,lost,1st,West Indies,Gros Islet,4/3/2009,
England,won,26 runs,0,won,2nd,South Africa,Johannesburg,1/30/2005,
India,lost,26 runs,0,lost,2nd,Australia,Sharjah,4/22/1998,
India,lost,26 runs,0,won,2nd,South Africa,Nairobi (Gym),10/3/1999,
India,won,26 runs,0,lost,1st,South Africa,Cardiff,6/6/2013,
New Zealand,lost,26 runs,0,lost,2nd,South Africa,Hobart,1/15/2002,Stephen Fleming (NZ)
Pakistan,won,26 runs,0,won,1st,Sri Lanka,Sharjah,11/20/2011,
South Africa,lost,26 runs,0,lost,1st,England,Johannesburg,1/30/2005,
South Africa,lost,26 runs,0,won,2nd,India,Cardiff,6/6/2013,
South Africa,won,26 runs,0,lost,1st,India,Nairobi (Gym),10/3/1999,
South Africa,won,26 runs,0,won,1st,New Zealand,Hobart,1/15/2002,Stephen Fleming (NZ)
Sri Lanka,lost,26 runs,0,lost,2nd,Pakistan,Sharjah,11/20/2011,
Sri Lanka,won,26 runs,0,lost,1st,West Indies,Colombo (SSC),2/6/2011,
West Indies,lost,26 runs,0,won,2nd,England,Gros Islet,4/3/2009,
West Indies,lost,26 runs,0,won,2nd,Sri Lanka,Colombo (SSC),2/6/2011,
Australia,won,27 runs,0,won,1st,Pakistan,Abu Dhabi,4/27/2009,
Australia,won,27 runs,0,won,1st,South Africa,Brisbane,1/20/2002,
Australia,won,27 runs,0,won,1st,Sri Lanka,Colombo (RPS),8/26/1999,
India,lost,27 runs,0,won,2nd,South Africa,Jaipur,10/23/1996,
New Zealand,won,27 runs,0,lost,1st,South Africa,Kimberley,1/22/2013,Brendon McCullum (NZ)
Pakistan,lost,27 runs,0,lost,2nd,Australia,Abu Dhabi,4/27/2009,
Pakistan,won,27 runs,0,won,1st,West Indies,Bristol,5/16/1999,
South Africa,lost,27 runs,0,lost,2nd,Australia,Brisbane,1/20/2002,
South Africa,lost,27 runs,0,lost,2nd,Sri Lanka,Tangier,8/21/2002,
South Africa,lost,27 runs,0,won,2nd,New Zealand,Kimberley,1/22/2013,Brendon McCullum (NZ)
South Africa,won,27 runs,0,lost,1st,India,Jaipur,10/23/1996,
Sri Lanka,lost,27 runs,0,lost,2nd,Australia,Colombo (RPS),8/26/1999,
Sri Lanka,won,27 runs,0,won,1st,South Africa,Tangier,8/21/2002,
West Indies,lost,27 runs,0,lost,2nd,Pakistan,Bristol,5/16/1999,
Australia,won,28 runs,0,lost,1st,West Indies,Sydney,1/17/2001,
Australia,won,28 runs,0,won,1st,India,Melbourne,1/12/2000,
England,lost,28 runs,0,lost,2nd,New Zealand,Wellington,3/4/1997,Lee Germon (NZ)
India,lost,28 runs,0,lost,2nd,Australia,Melbourne,1/12/2000,
India,won,28 runs,0,won,1st,Pakistan,Sharjah,4/15/1996,
New Zealand,lost,28 runs,0,won,2nd,Pakistan,Wellington,2/22/2001,Stephen Fleming (NZ)
New Zealand,won,28 runs,0,won,1st,England,Wellington,3/4/1997,Lee Germon (NZ)
Pakistan,lost,28 runs,0,lost,2nd,India,Sharjah,4/15/1996,
Pakistan,lost,28 runs,0,lost,2nd,South Africa,Abu Dhabi,11/8/2013,
Pakistan,won,28 runs,0,lost,1st,New Zealand,Wellington,2/22/2001,Stephen Fleming (NZ)
Pakistan,won,28 runs,0,lost,1st,Sri Lanka,Tangier,8/14/2002,
Pakistan,won,28 runs,0,won,1st,South Africa,Singapore,8/23/2000,
Pakistan,won,28 runs,0,won,1st,Sri Lanka,Sharjah,4/13/2001,
South Africa,lost,28 runs,0,lost,2nd,Pakistan,Singapore,8/23/2000,
South Africa,won,28 runs,0,won,1st,Pakistan,Abu Dhabi,11/8/2013,
Sri Lanka,lost,28 runs,0,lost,2nd,Pakistan,Sharjah,4/13/2001,
Sri Lanka,lost,28 runs,0,won,2nd,Pakistan,Tangier,8/14/2002,
West Indies,lost,28 runs,0,won,2nd,Australia,Sydney,1/17/2001,
Australia,lost,29 runs,0,lost,2nd,Pakistan,Hobart,1/7/1997,
Australia,lost,29 runs,0,lost,2nd,Sri Lanka,Sydney,11/5/2010,
India,lost,29 runs,0,won,1st,West Indies,Kuala Lumpur,9/14/2006,
India,won,29 runs,0,won,1st,Pakistan,Mohali,3/30/2011,
New Zealand,won,29 runs,0,lost,1st,Sri Lanka,Sharjah,11/7/1996,Lee Germon (NZ)
Pakistan,lost,29 runs,0,lost,2nd,India,Mohali,3/30/2011,
Pakistan,lost,29 runs,0,won,2nd,Sri Lanka,Karachi,2/13/2000,
Pakistan,won,29 runs,0,lost,1st,South Africa,Auckland,3/7/2015,
Pakistan,won,29 runs,0,won,1st,Australia,Hobart,1/7/1997,
South Africa,lost,29 runs,0,won,2nd,Pakistan,Auckland,3/7/2015,
Sri Lanka,lost,29 runs,0,won,2nd,New Zealand,Sharjah,11/7/1996,Lee Germon (NZ)
Sri Lanka,won,29 runs,0,lost,1st,Pakistan,Karachi,2/13/2000,
Sri Lanka,won,29 runs,0,won,1st,Australia,Sydney,11/5/2010,
West Indies,won,29 runs,0,lost,2nd,India,Kuala Lumpur,9/14/2006,
Australia,won,3 runs,0,won,1st,India,Hyderabad (Deccan),11/5/2009,
England,lost,3 runs,0,won,2nd,West Indies,Nottingham,7/20/2000,
India,lost,3 runs,0,lost,2nd,Australia,Hyderabad (Deccan),11/5/2009,
India,won,3 runs,0,lost,1st,Sri Lanka,Rajkot,12/15/2009,
New Zealand,lost,3 runs,0,lost,1st,Sri Lanka,Hamilton,2/8/2001,Stephen Fleming (NZ)
South Africa,lost,3 runs,0,lost,2nd,West Indies,Cape Town,2/9/2003,
Sri Lanka,lost,3 runs,0,won,2nd,India,Rajkot,12/15/2009,
Sri Lanka,won,3 runs,0,won,2nd,New Zealand,Hamilton,2/8/2001,Stephen Fleming (NZ)
West Indies,won,3 runs,0,lost,1st,England,Nottingham,7/20/2000,
West Indies,won,3 runs,0,won,1st,South Africa,Cape Town,2/9/2003,
India,lost,3 wickets,0,won,1st,Pakistan,Ahmedabad,4/12/2005,
New Zealand,lost,3 wickets,0,lost,1st,South Africa,Cape Town,11/4/2000,Stephen Fleming (NZ)
Pakistan,won,3 wickets,0,lost,2nd,India,Ahmedabad,4/12/2005,
South Africa,lost,3 wickets,0,lost,1st,West Indies,Kingston,4/28/2001,
South Africa,won,3 wickets,0,won,2nd,New Zealand,Cape Town,11/4/2000,Stephen Fleming (NZ)
West Indies,won,3 wickets,0,won,2nd,South Africa,Kingston,4/28/2001,
Australia,won,3 wickets,1,won,2nd,England,Hobart,1/23/2015,
England,lost,3 wickets,1,lost,1st,Australia,Hobart,1/23/2015,
England,won,3 wickets,1,lost,2nd,New Zealand,Hobart,1/16/2007,Stephen Fleming (NZ)
India,won,3 wickets,1,lost,2nd,Pakistan,Dambulla,6/19/2010,
India,won,3 wickets,1,won,2nd,Pakistan,Dhaka,1/18/1998,
New Zealand,lost,3 wickets,1,won,1st,England,Hobart,1/16/2007,Stephen Fleming (NZ)
Pakistan,lost,3 wickets,1,lost,1st,India,Dhaka,1/18/1998,
Pakistan,lost,3 wickets,1,won,1st,India,Dambulla,6/19/2010,
Australia,lost,3 wickets,2,won,1st,Sri Lanka,Melbourne,1/16/1996,
Australia,won,3 wickets,2,lost,2nd,New Zealand,Adelaide,12/7/1997,Stephen Fleming (NZ)
India,lost,3 wickets,2,lost,1st,West Indies,Ahmedabad,10/26/2006,
India,lost,3 wickets,2,won,1st,South Africa,Nagpur,3/12/2011,
India,won,3 wickets,2,lost,2nd,South Africa,Kochi,3/9/2000,
New Zealand,lost,3 wickets,2,won,1st,Australia,Adelaide,12/7/1997,Stephen Fleming (NZ)
New Zealand,lost,3 wickets,2,won,1st,West Indies,Auckland,3/4/2006,Stephen Fleming (NZ)
South Africa,lost,3 wickets,2,won,1st,India,Kochi,3/9/2000,
South Africa,won,3 wickets,2,lost,2nd,India,Nagpur,3/12/2011,
Sri Lanka,won,3 wickets,2,lost,2nd,Australia,Melbourne,1/16/1996,
West Indies,won,3 wickets,2,lost,2nd,New Zealand,Auckland,3/4/2006,Stephen Fleming (NZ)
West Indies,won,3 wickets,2,won,2nd,India,Ahmedabad,10/26/2006,
Australia,lost,3 wickets,3,lost,1st,England,Cardiff,9/14/2013,
Australia,lost,3 wickets,3,lost,1st,Sri Lanka,Hobart,1/21/1999,
Australia,lost,3 wickets,3,won,1st,South Africa,Melbourne,1/16/2009,
Australia,won,3 wickets,3,lost,2nd,Pakistan,Melbourne,1/16/1997,
Australia,won,3 wickets,3,won,2nd,India,Colombo (SSC),9/6/1996,
England,won,3 wickets,3,won,2nd,Australia,Cardiff,9/14/2013,
India,lost,3 wickets,3,lost,1st,Australia,Colombo (SSC),9/6/1996,
New Zealand,lost,3 wickets,3,lost,1st,Pakistan,Dubai (DSC),12/8/2014,
New Zealand,lost,3 wickets,3,won,1st,Sri Lanka,Wellington,2/3/2001,Stephen Fleming (NZ)
Pakistan,lost,3 wickets,3,won,1st,Australia,Melbourne,1/16/1997,
Pakistan,won,3 wickets,3,won,2nd,New Zealand,Dubai (DSC),12/8/2014,
South Africa,won,3 wickets,3,lost,2nd,Australia,Melbourne,1/16/2009,
Sri Lanka,won,3 wickets,3,lost,2nd,New Zealand,Wellington,2/3/2001,Stephen Fleming (NZ)
Sri Lanka,won,3 wickets,3,won,2nd,Australia,Hobart,1/21/1999,
Australia,lost,3 wickets,4,won,1st,Sri Lanka,Hobart,2/24/2012,
England,won,3 wickets,4,won,2nd,Sri Lanka,Leeds,7/2/2002,
India,lost,3 wickets,4,lost,1st,Pakistan,Birmingham,9/19/2004,
Pakistan,won,3 wickets,4,won,2nd,India,Birmingham,9/19/2004,
Sri Lanka,lost,3 wickets,4,lost,1st,England,Leeds,7/2/2002,
Sri Lanka,lost,3 wickets,4,won,1st,West Indies,Sharjah,10/13/1999,
Sri Lanka,won,3 wickets,4,lost,2nd,Australia,Hobart,2/24/2012,
West Indies,won,3 wickets,4,lost,2nd,Sri Lanka,Sharjah,10/13/1999,
Australia,won,3 wickets,5,lost,2nd,South Africa,Port Elizabeth,4/6/2002,
England,lost,3 wickets,5,won,1st,South Africa,Port Elizabeth,2/4/2005,
India,lost,3 wickets,5,won,1st,Sri Lanka,Nagpur,12/18/2009,
India,won,3 wickets,5,won,2nd,Sri Lanka,Sharjah,11/6/1998,
New Zealand,won,3 wickets,5,lost,2nd,West Indies,Auckland,1/2/2000,Stephen Fleming (NZ)
New Zealand,won,3 wickets,5,won,2nd,South Africa,Dunedin,2/14/1999,Dion  Nash (NZ)
South Africa,lost,3 wickets,5,lost,1st,New Zealand,Dunedin,2/14/1999,Dion  Nash (NZ)
South Africa,lost,3 wickets,5,won,1st,Australia,Port Elizabeth,4/6/2002,
South Africa,won,3 wickets,5,lost,2nd,England,Port Elizabeth,2/4/2005,
Sri Lanka,lost,3 wickets,5,lost,1st,India,Sharjah,11/6/1998,
Sri Lanka,won,3 wickets,5,lost,2nd,India,Nagpur,12/18/2009,
West Indies,lost,3 wickets,5,won,1st,New Zealand,Auckland,1/2/2000,Stephen Fleming (NZ)
Australia,won,3 wickets,6,lost,2nd,South Africa,Melbourne,11/21/2014,
England,lost,3 wickets,6,lost,1st,South Africa,Centurion,2/13/2005,
England,lost,3 wickets,6,won,1st,New Zealand,Southampton,6/14/2015,Brendon McCullum (NZ)
England,won,3 wickets,6,won,2nd,New Zealand,Chester-le-Street,6/20/2015,Brendon McCullum (NZ)
New Zealand,lost,3 wickets,6,lost,1st,England,Chester-le-Street,6/20/2015,Brendon McCullum (NZ)
New Zealand,won,3 wickets,6,lost,2nd,England,Southampton,6/14/2015,Brendon McCullum (NZ)
Pakistan,lost,3 wickets,6,won,1st,South Africa,Nottingham,6/5/1999,
South Africa,lost,3 wickets,6,won,1st,Australia,Melbourne,11/21/2014,
South Africa,lost,3 wickets,6,won,1st,Sri Lanka,Colombo (RPS),8/20/2004,
South Africa,won,3 wickets,6,lost,2nd,Pakistan,Nottingham,6/5/1999,
South Africa,won,3 wickets,6,won,2nd,England,Centurion,2/13/2005,
Sri Lanka,won,3 wickets,6,lost,2nd,South Africa,Colombo (RPS),8/20/2004,
England,lost,3 wickets,7,lost,1st,New Zealand,Hamilton,2/17/2013,Brendon McCullum (NZ)
England,won,3 wickets,7,won,2nd,India,The Oval,9/9/2011,
India,lost,3 wickets,7,lost,1st,England,The Oval,9/9/2011,
New Zealand,won,3 wickets,7,won,2nd,England,Hamilton,2/17/2013,Brendon McCullum (NZ)
Australia,lost,3 wickets,8,won,1st,West Indies,St George's,5/30/2003,
England,lost,3 wickets,8,lost,1st,South Africa,The Oval,5/21/1998,
India,won,3 wickets,8,lost,2nd,Sri Lanka,Ranchi,11/16/2014,
Pakistan,won,3 wickets,8,lost,2nd,South Africa,Durban,3/21/2013,
South Africa,lost,3 wickets,8,won,1st,Pakistan,Durban,3/21/2013,
South Africa,won,3 wickets,8,won,2nd,England,The Oval,5/21/1998,
Sri Lanka,lost,3 wickets,8,won,1st,India,Ranchi,11/16/2014,
West Indies,won,3 wickets,8,lost,2nd,Australia,St George's,5/30/2003,
England,won,3 wickets,9,lost,2nd,West Indies,Ahmedabad,10/28/2006,
West Indies,lost,3 wickets,9,won,1st,England,Ahmedabad,10/28/2006,
Australia,lost,3 wickets,10,won,1st,England,Leeds,9/11/2015,
England,won,3 wickets,10,lost,2nd,Australia,Leeds,9/11/2015,
India,lost,3 wickets,10,won,1st,Sri Lanka,Dambulla,7/30/2005,
Sri Lanka,won,3 wickets,10,lost,2nd,India,Dambulla,7/30/2005,
England,lost,3 wickets,11,won,1st,South Africa,Johannesburg,1/13/1996,
England,won,3 wickets,11,lost,2nd,West Indies,Sharjah,12/19/1997,
South Africa,won,3 wickets,11,lost,2nd,England,Johannesburg,1/13/1996,
West Indies,lost,3 wickets,11,won,1st,England,Sharjah,12/19/1997,
England,won,3 wickets,12,lost,2nd,India,Manchester,8/30/2007,
India,lost,3 wickets,12,won,1st,England,Manchester,8/30/2007,
New Zealand,lost,3 wickets,12,won,1st,Pakistan,Lahore,11/29/2003,
Pakistan,won,3 wickets,12,lost,2nd,New Zealand,Lahore,11/29/2003,
Australia,lost,3 wickets,13,won,1st,Sri Lanka,Colombo (SSC),2/29/2004,
Sri Lanka,won,3 wickets,13,lost,2nd,Australia,Colombo (SSC),2/29/2004,
Australia,lost,3 wickets,15,won,1st,England,Bristol,6/19/2005,
Australia,lost,3 wickets,15,won,1st,Sri Lanka,Melbourne,1/9/1996,
Australia,won,3 wickets,15,lost,2nd,South Africa,Durban,10/28/2011,
England,won,3 wickets,15,lost,2nd,Australia,Bristol,6/19/2005,
South Africa,lost,3 wickets,15,won,1st,Australia,Durban,10/28/2011,
Sri Lanka,won,3 wickets,15,lost,2nd,Australia,Melbourne,1/9/1996,
Australia,lost,3 wickets,16,won,1st,Pakistan,Perth,1/30/2005,
Australia,lost,3 wickets,16,won,1st,West Indies,Kuala Lumpur,9/18/2006,
Pakistan,won,3 wickets,16,lost,2nd,Australia,Perth,1/30/2005,
Pakistan,won,3 wickets,16,lost,2nd,Sri Lanka,Abu Dhabi,11/23/2011,
Sri Lanka,lost,3 wickets,16,won,1st,Pakistan,Abu Dhabi,11/23/2011,
West Indies,won,3 wickets,16,lost,2nd,Australia,Kuala Lumpur,9/18/2006,
New Zealand,lost,3 wickets,17,won,1st,Pakistan,Rawalpindi,4/24/2002,Stephen Fleming (NZ)
Pakistan,won,3 wickets,17,lost,2nd,New Zealand,Rawalpindi,4/24/2002,Stephen Fleming (NZ)
Australia,won,3 wickets,18,won,2nd,Pakistan,Sharjah,9/3/2012,
Pakistan,lost,3 wickets,18,lost,1st,Australia,Sharjah,9/3/2012,
England,won,3 wickets,19,won,2nd,India,Perth,1/30/2015,
India,lost,3 wickets,19,lost,1st,England,Perth,1/30/2015,
Australia,lost,3 wickets,21,won,1st,South Africa,Sydney,1/23/2009,
South Africa,won,3 wickets,21,lost,2nd,Australia,Sydney,1/23/2009,
India,won,3 wickets,22,won,2nd,West Indies,Jodhpur,11/21/2002,
India,won,3 wickets,22,won,2nd,West Indies,North Sound,6/11/2011,
Pakistan,lost,3 wickets,22,lost,1st,South Africa,East London,4/11/1998,
South Africa,won,3 wickets,22,won,2nd,Pakistan,East London,4/11/1998,
West Indies,lost,3 wickets,22,lost,1st,India,Jodhpur,11/21/2002,
West Indies,lost,3 wickets,22,lost,1st,India,North Sound,6/11/2011,
Pakistan,won,3 wickets,29,won,2nd,West Indies,Bridgetown,4/28/2011,
West Indies,lost,3 wickets,29,lost,1st,Pakistan,Bridgetown,4/28/2011,
England,won,3 wickets,31,won,2nd,West Indies,North Sound,3/2/2014,
West Indies,lost,3 wickets,31,lost,1st,England,North Sound,3/2/2014,
Pakistan,lost,3 wickets,33,won,1st,South Africa,Sharjah,3/24/2000,
South Africa,won,3 wickets,33,lost,2nd,Pakistan,Sharjah,3/24/2000,
India,lost,3 wickets,38,lost,1st,West Indies,Chennai,1/27/2007,
West Indies,won,3 wickets,38,won,2nd,India,Chennai,1/27/2007,
New Zealand,won,3 wickets,42,lost,2nd,Sri Lanka,Christchurch,1/11/2015,Brendon McCullum (NZ)
Sri Lanka,lost,3 wickets,42,won,1st,New Zealand,Christchurch,1/11/2015,Brendon McCullum (NZ)
New Zealand,won,3 wickets,48,won,2nd,West Indies,Queenstown,2/22/2006,Stephen Fleming (NZ)
West Indies,lost,3 wickets,48,lost,1st,New Zealand,Queenstown,2/22/2006,Stephen Fleming (NZ)
New Zealand,lost,3 wickets,55,won,1st,Sri Lanka,Dambulla,8/13/2010,Ross Taylor (NZ)
Sri Lanka,won,3 wickets,55,lost,2nd,New Zealand,Dambulla,8/13/2010,Ross Taylor (NZ)
Australia,won,3 wickets,61,lost,2nd,England,Sydney,1/16/2015,
England,lost,3 wickets,61,won,1st,Australia,Sydney,1/16/2015,
